position,depo_index,blob_index,val,depo_x,depo_y,depo_z,blob_x,blob_y,blob_z,dx,dy,dz
depo034_x1400mm,34,1,19082.14453125,1399.9446911054133,3000.0,1000.0,1399.9068,2998.4918986577704,999.8636047270405,-0.037891105413336845,-1.5081013422295655,-0.13639527295947573
depo034_x1400mm,34,2,12148.078125,1397.664992107139,3000.0,1000.0,1396.7068,2998.4918986577704,999.8636047270405,-0.9581921071389843,-1.5081013422295655,-0.13639527295947573
depo035_x1300mm,35,0,2876.765625,1302.8799318255333,3000.0,1000.0,1303.9067999999997,2999.211196512323,1001.9276181424655,1.0268681744664718,-0.788803487676887,1.9276181424654624
depo035_x1300mm,35,1,17811.353515625,1300.450370023881,3000.0,1000.0,1300.7068,3000.491847731548,999.3844454304021,0.2564299761188522,0.49184773154820505,-0.6155545695978617
depo035_x1300mm,35,2,15812.615234375,1298.2885120826154,3000.0,1000.0,1297.5068,3000.491847731548,999.3844454304021,-0.7817120826152859,0.49184773154820505,-0.6155545695978617
depo035_x1300mm,35,3,355.4178161621094,1295.5109435623808,3000.0,1000.0,1294.3067999999998,2998.4918991214463,1001.8242178323266,-1.2041435623809775,-1.5081008785537051,1.8242178323265534
depo036_x1201mm,36,0,4922.779296875,1203.6874132091689,3000.0,1000.7070922851562,1204.7068,2998.4918986577704,999.8636047270405,1.0193867908310494,-1.5081013422295655,-0.8434875581157257
depo036_x1201mm,36,1,31704.97265625,1201.2279377938312,3000.0,1000.7070922851562,1201.5068,3000.491847731548,999.3844454304023,0.2788622061689239,0.49184773154820505,-1.322646854753998
depo037_x1200mm,37,0,33348.23828125,1198.866944638799,3000.0,1000.0,1198.3067999999998,3000.491847731548,999.3844454304023,-0.5601446387991018,0.49184773154820505,-0.615554569597748
depo037_x1200mm,37,1,6041.56103515625,1196.227571269757,3000.0,1000.0,1195.1068,2998.4918986577704,999.8636047270405,-1.120771269756915,-1.5081013422295655,-0.13639527295947573
depo038_x1101mm,38,0,1660.4365234375,1104.4137557906324,3000.0,1000.7070922851562,1105.5068,2994.4920018577686,1001.2492274448603,1.0930442093676902,-5.507998142231372,0.542135159704003
depo038_x1101mm,38,1,25138.267578125,1101.792558824362,3000.0,1000.7070922851562,1102.3067999999998,2998.4918986577704,999.8636047270405,0.5142411756378351,-1.5081013422295655,-0.8434875581157257
depo039_x1100mm,39,0,36911.33984375,1099.4096454642631,3000.0,1000.0,1099.1068,2998.4918986577704,999.8636047270405,-0.30284546426310044,-1.5081013422295655,-0.13639527295947573
depo039_x1100mm,39,1,11906.0302734375,1096.920219581158,3000.0,1000.0,1095.9067999999997,2998.4918986577704,999.8636047270405,-1.0134195811583595,-1.5081013422295655,-0.13639527295947573
depo040_x1001mm,40,0,0.0,1005.1583141031792,3000.0,1000.7070922851562,1006.3067999999998,3006.4916934318935,998.9052858855063,1.1484858968206026,6.491693431893509,-1.8018063996499905
depo040_x1001mm,40,1,17916.927734375,1002.4080067549985,3000.0,1000.7070922851562,1003.1068,3000.491847731548,999.3844454304023,0.6987932450015251,0.49184773154820505,-1.322646854753998
depo041_x1000mm,41,0,37570.9921875,999.9394772211353,3000.0,1000.0,999.9067999999997,3000.491847731548,999.3844454304023,-0.03267722113560012,0.49184773154820505,-0.615554569597748
depo041_x1000mm,41,1,19645.28515625,997.5825155931489,3000.0,1000.0,996.7067999999999,3000.491847731548,999.3844454304023,-0.8757155931489251,0.49184773154820505,-0.615554569597748
depo042_x901mm,42,0,10048.8330078125,903.067839787353,3000.0,1000.7070922851562,903.9067999999997,3000.491847731548,999.3844454304023,0.8389602126467253,0.49184773154820505,-1.322646854753998
depo042_x901mm,42,1,34256.34375,900.7085377424837,3000.0,1000.7070922851562,900.7067999999999,3000.491847731548,999.3844454304023,-0.0017377424837832223,0.49184773154820505,-1.322646854753998
depo043_x900mm,43,0,27104.177734375,898.2099411982149,3000.0,1000.0,897.5067999999997,3000.491847731548,999.3844454304023,-0.7031411982152349,0.49184773154820505,-0.615554569597748
depo043_x900mm,43,1,2077.361328125,895.4478642031704,3000.0,1000.0,894.3067999999998,3002.4917968053264,998.9052861337641,-1.141064203170572,2.4917968053264303,-1.0947138662359066
